latitude,longitude,elevation_m,cumulative_distance_km,segment_distance_km,slope_percent,arrival_timestamp,vehicle_speed_kmh,duration_hours,temperature,rainfall,wind_speed,cloud_cover,predicted_ghi,predicted_direct_radiation,predicted_dhi,predicted_dni,solar_timestamp,solar_latitude,solar_longitude,solar_vehicle_speed_kmh,solar_ghi_w_m2,solar_direct_radiation_w_m2,solar_dhi_w_m2,solar_dni_w_m2,solar_cloud_cover_percent,solar_ambient_temperature_c,solar_wind_speed_kmh,solar_solar_elevation_deg,solar_solar_azimuth_deg,solar_poa_irradiance_w_m2,solar_tilt_factor,solar_cloud_correction_factor,solar_effective_irradiance_w_m2,solar_cell_temperature_c,solar_temperature_derating_factor,solar_adjusted_panel_efficiency,solar_solar_power_w,solar_net_solar_power_w,solar_duration_hours,solar_solar_energy_wh,solar_solar_energy_kwh,solar_distance_km,elevation_gain_m,rolling_resistance_force_n,aerodynamic_drag_force_n,rolling_energy_wh,drag_energy_wh,elevation_energy_wh,temperature_energy_factor,energy_consumed_wh,net_energy_consumption_wh,battery_remaining_wh,battery_remaining_percent,cumulative_distance_km,average_net_energy_wh_per_km,remaining_range_km,weather_risk,cumulative_solar_energy_wh
11.05729,77.08493,374.0,200.09833427668104,9.918731006519806,-0.12990065,2026-06-25 11:38:17.345516290,55.0,0.18034056,27.44,0.0,18.07,27.948288211621097,645.48,555.279694625814,90.20030537418597,574.8678413114901,2026-06-25 11:38:17,11.05729,77.08493,55.0,645.48,555.279694625814,90.20030537418597,574.8678413114901,27.948288211621097,27.44,18.07,77.088,16.192,650.532,1.00783,0.81834,532.354,39.559,0.94177,0.20719,220.595,209.565,0.18034055829048157,37.793,0.03779,9.919,0.0,147.09975,133.23343,450.32187,407.8724,0.0,1.0544,904.88007,867.08704,40650.08,67.75013,210.01706,92.134995,441.20126,0.08384486463486329,422.43199999999996
11.10064,77.1634,363.0,210.01706528320085,10.051498785770804,-0.11090128,2026-06-25 11:49:06.571545808,55.0,0.18275452,27.44,0.0,18.15,28.197311052991747,645.48,554.4759983075744,91.00400169242562,574.0357936569333,2026-06-25 11:49:06,11.10064,77.1634,55.0,645.48,554.4759983075744,91.00400169242562,574.0357936569333,28.197311052991747,27.44,18.15,77.63,4.767,651.714,1.00966,0.81672,532.266,39.536,0.94186,0.20721,220.58,209.551,0.1827545166015625,38.296,0.0383,10.051,0.0,147.09975,133.52533,456.34967,414.23758,0.0,1.0544,917.9472,879.6512,39770.43,66.28405,220.06856,91.92395,432.6449,0.08459193315897524,460.72799999999995
11.16264,77.22555,343.0,220.06856406897165,9.935318861257485,-0.1989753,2026-06-25 12:00:04.487829969,55.0,0.18064216,27.46,0.0,18.71,28.104444444444454,647.06,556.1336908888889,90.9263091111111,556.1336908888889,2026-06-25 12:00:04,11.16264,77.22555,55.0,647.06,556.1336908888889,90.9263091111111,556.1336908888889,28.104444444444454,27.46,18.71,77.633,352.734,634.154,0.98006,0.81732,518.308,38.98,0.94408,0.2077,215.303,204.538,0.18064215779304504,36.948,0.03695,9.935,0.0,147.09975,135.57756,451.07498,415.7427,0.0,1.0546,914.14594,877.19794,38893.23,64.82205,230.00388,91.76701,423.82584,0.08431333333333337,497.67599999999993
11.19687,77.29795,330.0,230.00388293022914,10.010901504265831,-0.13084632,2026-06-25 12:10:54.799609980,55.0,0.18201639,27.46,0.0,19.5,27.698963211353032,650.09,560.0559050296575,90.0340949703425,560.0559050296575,2026-06-25 12:10:54,11.19687,77.29795,55.0,650.09,560.0559050296575,90.0340949703425,560.0559050296575,27.698963211353032,27.46,19.5,77.052,341.379,635.85,0.97809,0.81996,521.369,38.878,0.94449,0.20779,216.668,205.835,0.18201638758182526,37.465,0.03747,10.011,0.0,147.09975,138.4993,454.5065,427.93295,0.0,1.0546,930.62067,893.1557,38000.074,63.333458,240.01479,91.66071,414.5732,0.0830968896340591,535.141
11.2069,77.37909,328.0,240.01478443449497,9.994896593293788,-0.019978222,2026-06-25 12:21:50.058617529,55.0,0.1817254,27.46,0.0,19.5,27.463481830575176,650.09,560.821325483807,89.26867451619307,560.821325483807,2026-06-25 12:21:50,11.2069,77.37909,55.0,650.09,560.821325483807,89.26867451619307,560.821325483807,27.463481830575176,27.46,19.5,75.95,331.357,633.312,0.97419,0.82149,520.258,38.843,0.94463,0.20782,216.238,205.426,0.1817253977060318,37.331,0.03733,9.995,0.0,147.09975,138.4993,453.77988,427.2488,0.0,1.0546,929.1328,891.8018,37108.273,61.847122,250.00967,91.56337,405.27423,0.08239044549172553,572.472
11.22459,77.46094,284.0,250.00968102778876,9.993421027857153,-0.44022468,2026-06-25 12:32:44.270030911,55.0,0.18169856,27.46,0.0,19.5,27.057910375707948,650.09,562.1396152192801,87.9503847807199,562.1396152192801,2026-06-25 12:32:44,11.22459,77.46094,55.0,650.09,562.1396152192801,87.9503847807199,562.1396152192801,27.057910375707948,27.46,19.5,74.47,323.09,629.566,0.96843,0.82412,518.84,38.799,0.9448,0.20786,215.689,204.905,0.18169856071472168,37.231,0.03723,9.993,0.0,147.09975,138.4993,453.7129,427.18573,0.0,1.0546,928.99567,891.76465,36216.508,60.360847,260.0031,91.47388,395.92184,0.08117373112712385,609.703
11.25355,77.54328,306.0,260.0031020556459,10.010047841042365,0.22014484,2026-06-25 12:43:38.384861822,55.0,0.18200088,27.46,0.0,19.5,26.477486914913495,650.09,564.0262526574195,86.06374734258054,564.0262526574195,2026-06-25 12:43:38,11.25355,77.54328,55.0,650.09,564.0262526574195,86.06374734258054,564.0262526574195,26.477486914913495,27.46,19.5,72.71,316.431,624.603,0.96079,0.8279,517.107,38.745,0.94502,0.2079,215.018,204.267,0.18200087547302246,37.177,0.03718,10.01,22.0,147.09975,138.4993,454.46774,427.89645,99.882545,1.0546,1035.8774,998.70044,35217.81,58.696346,270.01315,91.78143,383.71387,0.07943246074474049,646.88
11.30792,77.60523,258.0,270.0131498966883,9.998163317036358,-0.47951818,2026-06-25 12:54:33.587993239,55.0,0.1817848,28.67,0.0,19.5,25.715285194464943,650.09,566.5037512396514,83.58624876034867,566.5037512396514,2026-06-25 12:54:33,11.30792,77.60523,55.0,650.09,566.5037512396514,83.58624876034867,566.5037512396514,25.715285194464943,28.67,19.5,70.769,311.116,618.477,0.95137,0.83285,515.099,39.892,0.94043,0.2069,213.143,202.486,0.18178479373455048,36.809,0.03681,9.998,0.0,147.09975,138.4993,453.9282,427.38846,0.0,1.0667,940.10046,903.29144,34314.516,57.19086,280.01132,91.73016,374.08102,0.07714585558339483,683.689
11.37816,77.65264,212.0,280.01131321372463,10.011250957576522,-0.4600845,2026-06-25 13:05:28.013228534,55.0,0.18202275,30.51,0.0,19.51,24.314115678191772,653.96,574.4577045554486,79.50229544455146,594.7223781793087,2026-06-25 13:05:28,11.37816,77.65264,55.0,653.96,574.4577045554486,79.50229544455146,594.7223781793087,24.314115678191772,30.51,19.51,68.696,306.873,633.583,0.96884,0.84196,533.451,42.303,0.93079,0.20477,218.473,207.549,0.18202275037765503,37.779,0.03778,10.011,0.0,147.09975,138.53648,454.52237,428.0628,0.0,1.0851,957.6932,919.9142,33394.6,55.65767,290.02255,91.73562,364.03094,0.07294234703457532,721.468
11.43403,77.69821,171.0,290.02256417130116,9.993377854452376,-0.40953922,2026-06-25 13:16:23.295109393,55.0,0.18169779,30.51,0.0,19.51,23.150931036796084,653.96,578.2610856958842,75.69891430411587,598.6599280790226,2026-06-25 13:16:23,11.43403,77.69821,55.0,653.96,578.2610856958842,75.69891430411587,598.6599280790226,23.150931036796084,30.51,19.51,66.504,303.507,624.722,0.95529,0.84952,530.713,42.217,0.93113,0.20485,217.432,206.56,0.1816977858543396,37.531,0.03753,9.993,0.0,147.09975,138.53648,453.7109,427.29858,0.0,1.0851,955.9834,918.4524,32476.15,54.126915,300.01593,91.741295,353.99707,0.06945279311038825,758.9989999999999
